snapshot_date,rank,ticker,weight_pct,weight_norm_top10,company_name,target_date,fetched_asof_param
2014-12-31,2,XOM,2.14,0.1224957069261591,EXXON MOBIL CORP,2014-12-31,2014-12-31
2014-12-31,3,MSFT,2.09,0.1196336576989124,MICROSOFT CORP,2014-12-31,2014-12-31
2014-12-31,4,JNJ,1.6,0.0915855752718946,JOHNSON & JOHNSON,2014-12-31,2014-12-31
2014-12-31,5,BRK-B,1.5,0.0858614768174012,BERKSHIRE HATHAWAY INC CLASS B,2014-12-31,2014-12-31
2014-12-31,6,WFC,1.42,0.0812821980538065,WELLS FARGO,2014-12-31,2014-12-31
2014-12-31,7,GE,1.39,0.0795649685174585,GENERAL ELECTRIC,2014-12-31,2014-12-31
2014-12-31,8,PG,1.35,0.0772753291356611,PROCTER & GAMBLE,2014-12-31,2014-12-31
2014-12-31,9,JPM,1.28,0.0732684602175157,JPMORGAN CHASE & CO,2014-12-31,2014-12-31
2014-12-31,10,CVX,1.16,0.0663995420721236,CHEVRON CORP,2014-12-31,2014-12-31
2015-06-30,1,AAPL,3.96,0.2295652173913044,APPLE INC,2015-06-30,2015-06-30
2015-06-30,2,MSFT,1.96,0.1136231884057971,MICROSOFT CORP,2015-06-30,2015-06-30
2015-06-30,3,XOM,1.91,0.1107246376811594,EXXON MOBIL CORP,2015-06-30,2015-06-30
2015-06-30,4,JNJ,1.48,0.0857971014492753,JOHNSON & JOHNSON,2015-06-30,2015-06-30
2015-06-30,5,GE,1.47,0.0852173913043478,GENERAL ELECTRIC,2015-06-30,2015-06-30
2015-06-30,6,WFC,1.44,0.0834782608695652,WELLS FARGO,2015-06-30,2015-06-30
2015-06-30,7,JPM,1.38,0.08,JPMORGAN CHASE & CO,2015-06-30,2015-06-30
2015-06-30,8,BRK-B,1.36,0.0788405797101449,BERKSHIRE HATHAWAY INC CLASS B,2015-06-30,2015-06-30
2015-06-30,9,PG,1.16,0.0672463768115942,PROCTER & GAMBLE,2015-06-30,2015-06-30
2015-06-30,10,PFE,1.13,0.0655072463768116,PFIZER INC,2015-06-30,2015-06-30
2015-12-31,1,AAPL,3.27,0.1846414455110107,APPLE INC,2015-12-31,2015-12-31
2015-12-31,2,MSFT,2.47,0.1394692264257481,MICROSOFT CORP,2015-12-31,2015-12-31
2015-12-31,3,XOM,1.81,0.1022021456804065,EXXON MOBIL CORP,2015-12-31,2015-12-31
2015-12-31,4,GE,1.64,0.0926030491247882,GENERAL ELECTRIC,2015-12-31,2015-12-31
2015-12-31,5,JNJ,1.59,0.0897797854319593,JOHNSON & JOHNSON,2015-12-31,2015-12-31
2015-12-31,6,AMZN,1.45,0.0818746470920383,AMAZON COM INC,2015-12-31,2015-12-31
2015-12-31,7,WFC,1.41,0.0796160361377752,WELLS FARGO,2015-12-31,2015-12-31
2015-12-31,8,BRK-B,1.38,0.0779220779220779,BERKSHIRE HATHAWAY INC CLASS B,2015-12-31,2015-12-31
2015-12-31,9,JPM,1.36,0.0767927724449463,JPMORGAN CHASE & CO,2015-12-31,2015-12-31
2015-12-31,10,META,1.33,0.075098814229249,FACEBOOK CLASS A INC,2015-12-31,2015-12-31
2016-06-30,1,AAPL,2.87,0.1612359550561797,APPLE INC,2016-06-30,2016-06-30
2016-06-30,2,MSFT,2.21,0.1241573033707865,MICROSOFT CORP,2016-06-30,2016-06-30
2016-06-30,3,XOM,2.13,0.1196629213483145,EXXON MOBIL CORP,2016-06-30,2016-06-30
2016-06-30,4,JNJ,1.83,0.1028089887640449,JOHNSON & JOHNSON,2016-06-30,2016-06-30
2016-06-30,5,GE,1.59,0.0893258426966292,GENERAL ELECTRIC,2016-06-30,2016-06-30
2016-06-30,6,AMZN,1.52,0.0853932584269663,AMAZON COM INC,2016-06-30,2016-06-30
2016-06-30,7,BRK-B,1.49,0.0837078651685393,BERKSHIRE HATHAWAY INC CLASS B,2016-06-30,2016-06-30
2016-06-30,8,T,1.46,0.0820224719101123,AT&T INC,2016-06-30,2016-06-30
2016-06-30,9,META,1.45,0.0814606741573033,FACEBOOK CLASS A INC,2016-06-30,2016-06-30
2016-06-30,10,VZ,1.25,0.0702247191011235,VERIZON COMMUNICATIONS INC,2016-06-30,2016-06-30
2016-12-31,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2016-12-31,2016-12-31
2016-12-31,2,AAPL,6.51,0.175661090124123,APPLE INC,2016-12-31,2016-12-31
2016-12-31,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2016-12-31,2016-12-31
2016-12-31,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2016-12-31,2016-12-31
2016-12-31,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2016-12-31,2016-12-31
2016-12-31,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2016-12-31,2016-12-31
2016-12-31,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2016-12-31,2016-12-31
2016-12-31,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2016-12-31,2016-12-31
2016-12-31,9,TSLA,1.93,0.0520777118186724,TESLA INC,2016-12-31,2016-12-31
2016-12-31,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2016-12-31,2016-12-31
2017-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2017-06-30,2017-06-30
2017-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2017-06-30,2017-06-30
2017-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2017-06-30,2017-06-30
2017-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2017-06-30,2017-06-30
2017-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2017-06-30,2017-06-30
2017-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2017-06-30,2017-06-30
2017-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2017-06-30,2017-06-30
2017-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2017-06-30,2017-06-30
2017-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2017-06-30,2017-06-30
2017-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2017-06-30,2017-06-30
2017-12-31,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2017-12-31,2017-12-31
2017-12-31,2,AAPL,6.51,0.175661090124123,APPLE INC,2017-12-31,2017-12-31
2017-12-31,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2017-12-31,2017-12-31
2017-12-31,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2017-12-31,2017-12-31
2017-12-31,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2017-12-31,2017-12-31
2017-12-31,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2017-12-31,2017-12-31
2017-12-31,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2017-12-31,2017-12-31
2017-12-31,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2017-12-31,2017-12-31
2017-12-31,9,TSLA,1.93,0.0520777118186724,TESLA INC,2017-12-31,2017-12-31
2017-12-31,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2017-12-31,2017-12-31
2018-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2018-06-30,2018-06-30
2018-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2018-06-30,2018-06-30
2018-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2018-06-30,2018-06-30
2018-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2018-06-30,2018-06-30
2018-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2018-06-30,2018-06-30
2018-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2018-06-30,2018-06-30
2018-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2018-06-30,2018-06-30
2018-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2018-06-30,2018-06-30
2018-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2018-06-30,2018-06-30
2018-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2018-06-30,2018-06-30
2018-12-31,1,MSFT,3.73,0.1778731521220791,MICROSOFT CORP,2018-12-31,2018-12-31
2018-12-31,2,AAPL,3.38,0.1611826418693371,APPLE INC,2018-12-31,2018-12-31
2018-12-31,3,AMZN,2.93,0.139723414401526,AMAZON COM INC,2018-12-31,2018-12-31
2018-12-31,4,BRK-B,1.89,0.0901287553648068,BERKSHIRE HATHAWAY INC CLASS B,2018-12-31,2018-12-31
2018-12-31,5,JNJ,1.64,0.078206962327134,JOHNSON & JOHNSON,2018-12-31,2018-12-31
2018-12-31,6,JPM,1.54,0.0734382451120648,JPMORGAN CHASE & CO,2018-12-31,2018-12-31
2018-12-31,7,GOOG,1.51,0.0720076299475441,ALPHABET INC CLASS C,2018-12-31,2018-12-31
2018-12-31,8,META,1.5,0.0715307582260372,FACEBOOK CLASS A INC,2018-12-31,2018-12-31
2018-12-31,9,GOOGL,1.48,0.0705770147830233,ALPHABET INC CLASS A,2018-12-31,2018-12-31
2018-12-31,10,XOM,1.37,0.0653314258464473,EXXON MOBIL CORP,2018-12-31,2018-12-31
2019-06-30,1,NVDA,7.71,0.208041014570966,NVIDIA CORP,2019-06-30,2019-06-30
2019-06-30,2,AAPL,6.51,0.175661090124123,APPLE INC,2019-06-30,2019-06-30
2019-06-30,3,MSFT,5.17,0.1395035078251484,MICROSOFT CORP,2019-06-30,2019-06-30
2019-06-30,4,AMZN,3.56,0.0960604425256341,AMAZON COM INC,2019-06-30,2019-06-30
2019-06-30,5,GOOGL,3.1,0.0836481381543443,ALPHABET INC CLASS A,2019-06-30,2019-06-30
2019-06-30,6,AVGO,2.68,0.0723151645979492,BROADCOM INC,2019-06-30,2019-06-30
2019-06-30,7,GOOG,2.47,0.0666486778197517,ALPHABET INC CLASS C,2019-06-30,2019-06-30
2019-06-30,8,META,2.35,0.0634106853750674,META PLATFORMS INC CLASS A,2019-06-30,2019-06-30
2019-06-30,9,TSLA,1.93,0.0520777118186724,TESLA INC,2019-06-30,2019-06-30
2019-06-30,10,BRK-B,1.58,0.0426335671883432,BERKSHIRE HATHAWAY INC CLASS B,2019-06-30,2019-06-30
2019-12-31,1,AAPL,4.57,0.2015880017644464,APPLE INC,2019-12-31,2019-12-31
2019-12-31,2,MSFT,4.49,0.1980591089545655,MICROSOFT CORP,2019-12-31,2019-12-31
2019-12-31,3,AMZN,2.87,0.1265990295544773,AMAZON COM INC,2019-12-31,2019-12-31
2019-12-31,4,META,1.84,0.0811645346272607,FACEBOOK CLASS A INC,2019-12-31,2019-12-31
2019-12-31,5,BRK-B,1.65,0.0727834142037935,BERKSHIRE HATHAWAY INC CLASS B,2019-12-31,2019-12-31
2019-12-31,6,JPM,1.63,0.0719011910013233,JPMORGAN CHASE & CO,2019-12-31,2019-12-31
2019-12-31,7,GOOGL,1.5,0.0661667401852668,ALPHABET INC CLASS A,2019-12-31,2019-12-31
2019-12-31,8,GOOG,1.49,0.0657256285840317,ALPHABET INC CLASS C,2019-12-31,2019-12-31
2019-12-31,9,JNJ,1.43,0.0630789589766211,JOHNSON & JOHNSON,2019-12-31,2019-12-31
2019-12-31,10,V,1.2,0.0529333921482135,VISA INC CLASS A,2019-12-31,2019-12-31
2020-06-30,1,MSFT,6.01,0.2233370494240059,MICROSOFT CORP,2020-06-30,2020-06-30
2020-06-30,2,AAPL,5.79,0.2151616499442586,APPLE INC,2020-06-30,2020-06-30
2020-06-30,3,AMZN,4.5,0.1672240802675585,AMAZON COM INC,2020-06-30,2020-06-30
2020-06-30,4,META,2.13,0.0791527313266443,FACEBOOK CLASS A INC,2020-06-30,2020-06-30
2020-06-30,5,GOOGL,1.66,0.061687105165366,ALPHABET INC CLASS A,2020-06-30,2020-06-30
2020-06-30,6,GOOG,1.61,0.0598290598290598,ALPHABET INC CLASS C,2020-06-30,2020-06-30
2020-06-30,7,JNJ,1.44,0.0535117056856187,JOHNSON & JOHNSON,2020-06-30,2020-06-30
2020-06-30,8,BRK-B,1.35,0.0501672240802675,BERKSHIRE HATHAWAY INC CLASS B,2020-06-30,2020-06-30
2020-06-30,9,V,1.27,0.0471943515421776,VISA INC CLASS A,2020-06-30,2020-06-30
2020-06-30,10,PG,1.15,0.0427350427350427,PROCTER & GAMBLE,2020-06-30,2020-06-30
2020-12-31,1,AAPL,6.68,0.2444200512257592,APPLE INC,2020-12-31,2020-12-31
2020-12-31,2,MSFT,5.3,0.1939260885473838,MICROSOFT CORP,2020-12-31,2020-12-31
2020-12-31,3,AMZN,4.38,0.1602634467618002,AMAZON COM INC,2020-12-31,2020-12-31
2020-12-31,4,META,2.07,0.0757409440175631,FACEBOOK CLASS A INC,2020-12-31,2020-12-31
2020-12-31,5,TSLA,1.69,0.0618368093669959,TESLA INC,2020-12-31,2020-12-31
2020-12-31,6,GOOGL,1.66,0.0607391145261617,ALPHABET INC CLASS A,2020-12-31,2020-12-31
2020-12-31,7,GOOG,1.6,0.0585437248444932,ALPHABET INC CLASS C,2020-12-31,2020-12-31
